,Year,Month,Day,Hour,DHI 散射,DNI 直射,GHI
,2020,5,1,0,0,0,0
,2020,5,1,1,0,0,0
,2020,5,1,2,0,0,0
,2020,5,1,3,0,0,0
,2020,5,1,4,0,0,0
,2020,5,1,5,0,0,0
,2020,5,1,6,45,99,58
,2020,5,1,7,118,341,229
,2020,5,1,8,163,508,420
,2020,5,1,9,192,615,601
,2020,5,1,10,208,680,746
,2020,5,1,11,229,698,838
,2020,5,1,12,232,711,877
,2020,5,1,13,231,704,858
,2020,5,1,14,232,657,775
,2020,5,1,15,214,604,647
,2020,5,1,16,187,515,480
,2020,5,1,17,144,384,296
,2020,5,1,18,77,191,116
,2020,5,1,19,3,4,3
,2020,5,1,20,0,0,0
,2020,5,1,21,0,0,0
,2020,5,1,22,0,0,0
,2020,5,1,23,0,0,0
,2020,5,2,0,0,0,0
,2020,5,2,1,0,0,0
,2020,5,2,2,0,0,0
,2020,5,2,3,0,0,0
,2020,5,2,4,0,0,0
,2020,5,2,5,0,0,0
,2020,5,2,6,47,93,60
,2020,5,2,7,127,304,226
,2020,5,2,8,181,457,414
,2020,5,2,9,219,556,590
,2020,5,2,10,246,616,735
,2020,5,2,11,279,624,825
,2020,5,2,12,290,627,860
,2020,5,2,13,287,619,840
,2020,5,2,14,296,563,763
,2020,5,2,15,270,513,639
,2020,5,2,16,229,436,479
,2020,5,2,17,170,315,296
,2020,5,2,18,86,145,116
,2020,5,2,19,3,3,3
,2020,5,2,20,0,0,0
,2020,5,2,21,0,0,0
,2020,5,2,22,0,0,0
,2020,5,2,23,0,0,0
,2020,5,3,0,0,0,0
,2020,5,3,1,0,0,0
,2020,5,3,2,0,0,0
,2020,5,3,3,0,0,0
,2020,5,3,4,0,0,0
,2020,5,3,5,0,0,0
,2020,5,3,6,13,0,13
,2020,5,3,7,82,0,82
,2020,5,3,8,202,41,222
,2020,5,3,9,217,12,225
,2020,5,3,10,376,97,453
,2020,5,3,11,428,253,650
,2020,5,3,12,382,430,773
,2020,5,3,13,370,436,761
,2020,5,3,14,377,413,721
,2020,5,3,15,327,274,525
,2020,5,3,16,242,276,401
,2020,5,3,17,164,144,221
,2020,5,3,18,91,54,103
,2020,5,3,19,2,0,2
,2020,5,3,20,0,0,0
,2020,5,3,21,0,0,0
,2020,5,3,22,0,0,0
,2020,5,3,23,0,0,0
,2020,5,4,0,0,0,0
,2020,5,4,1,0,0,0
,2020,5,4,2,0,0,0
,2020,5,4,3,0,0,0
,2020,5,4,4,0,0,0
,2020,5,4,5,0,0,0
,2020,5,4,6,10,0,10
,2020,5,4,7,43,0,43
,2020,5,4,8,119,0,119
,2020,5,4,9,178,3,180
,2020,5,4,10,278,18,292
,2020,5,4,11,397,57,447
,2020,5,4,12,455,124,568
,2020,5,4,13,440,104,533
,2020,5,4,14,407,134,518
,2020,5,4,15,341,151,451
,2020,5,4,16,241,285,406
,2020,5,4,17,144,338,280
,2020,5,4,18,78,150,110
,2020,5,4,19,8,18,9
,2020,5,4,20,0,0,0
,2020,5,4,21,0,0,0
,2020,5,4,22,0,0,0
,2020,5,4,23,0,0,0
,2020,5,5,0,0,0,0
,2020,5,5,1,0,0,0
,2020,5,5,2,0,0,0
,2020,5,5,3,0,0,0
,2020,5,5,4,0,0,0
,2020,5,5,5,0,0,0
,2020,5,5,6,49,221,81
,2020,5,5,7,108,444,258
,2020,5,5,8,147,590,453
,2020,5,5,9,170,691,637
,2020,5,5,10,185,750,785
,2020,5,5,11,174,817,895
,2020,5,5,12,173,837,939
,2020,5,5,13,319,589,849
,2020,5,5,14,294,560,762
,2020,5,5,15,262,475,607
,2020,5,5,16,199,466,469
,2020,5,5,17,166,155,229
,2020,5,5,18,67,330,139
,2020,5,5,19,9,30,10
,2020,5,5,20,0,0,0
,2020,5,5,21,0,0,0
,2020,5,5,22,0,0,0
,2020,5,5,23,0,0,0
,2020,5,6,0,0,0,0
,2020,5,6,1,0,0,0
,2020,5,6,2,0,0,0
,2020,5,6,3,0,0,0
,2020,5,6,4,0,0,0
,2020,5,6,5,0,0,0
,2020,5,6,6,54,109,70
,2020,5,6,7,90,0,90
,2020,5,6,8,146,0,146
,2020,5,6,9,205,608,617
,2020,5,6,10,222,674,763
